"song","artist","ylink","date_posted","total_views","dislikes","likes","timestamp"
"Black Star","Octopizzo","https://www.youtube.com/watch?v=D0Yo1LyIhUs","2014-01-24","149116","18","620",1444637042.71661
"I Run The 254","Khaligraph Jones","https://www.youtube.com/watch?v=JODyGtWeCUA","2014-02-02","39919","28","310",1444637043.79167
"Dumbala Remix","Jay A","https://www.youtube.com/watch?v=sB50Qm5LEj8","2014-01-28","312682","23","818",1444637044.79973
"Kioo","Jaguar","https://www.youtube.com/watch?v=AYdpfpOPjkc","2014-01-05","859364","191","2125",1444637045.77179
"Selina WK Remix","Eric Wainaina","https://www.youtube.com/watch?v=g4OnSL9DfMk","2014-02-16","127103","15","910",1444637047.43388
"African Beauty","Nameless","https://www.youtube.com/watch?v=avXbNLf5odg","2014-01-29","308956","57","972",1444637048.37794
"Quality Ka Hizo","Mejja  feat  Pizo Dizo","https://www.youtube.com/watch?v=xI9czpT6JyU","2013-12-17","108293","16","363",1444637049.523
"Jana Usiku","Elani","https://www.youtube.com/watch?v=Ej_QYoQVSnw","2013-09-06","413804","60","1582",1444637050.59406
"Kazi Ya Msalaba","Danny Gift feat  Daddy Owen","https://www.youtube.com/watch?v=nXBMiNxJ5NY","2013-10-21","243994","26","670",1444637052.11115
"Sheria","Sarabi","https://www.youtube.com/watch?v=8QGx_6lMjGI","2013-12-11","83649","13","761",1444637053.54723
"Black Star","Octopizzo","https://www.youtube.com/watch?v=D0Yo1LyIhUs","2014-01-24","149116","18","620",1444637042.71661
"I Run The 254","Khaligraph Jones","https://www.youtube.com/watch?v=JODyGtWeCUA","2014-02-02","39919","28","310",1444637043.79167
"Dumbala Remix","Jay A","https://www.youtube.com/watch?v=sB50Qm5LEj8","2014-01-28","312682","23","818",1444637044.79973
"Kioo","Jaguar","https://www.youtube.com/watch?v=AYdpfpOPjkc","2014-01-05","859364","191","2125",1444637045.77179
"Selina WK Remix","Eric Wainaina","https://www.youtube.com/watch?v=g4OnSL9DfMk","2014-02-16","127103","15","910",1444637047.43388
"African Beauty","Nameless","https://www.youtube.com/watch?v=avXbNLf5odg","2014-01-29","308956","57","972",1444637048.37794
"Quality Ka Hizo","Mejja  feat  Pizo Dizo","https://www.youtube.com/watch?v=xI9czpT6JyU","2013-12-17","108293","16","363",1444637049.523
"Jana Usiku","Elani","https://www.youtube.com/watch?v=Ej_QYoQVSnw","2013-09-06","413804","60","1582",1444637050.59406
"Kazi Ya Msalaba","Danny Gift feat  Daddy Owen","https://www.youtube.com/watch?v=nXBMiNxJ5NY","2013-10-21","243994","26","670",1444637052.11115
"Sheria","Sarabi","https://www.youtube.com/watch?v=8QGx_6lMjGI","2013-12-11","83649","13","761",1444637053.54723
"Black Star","Octopizzo","https://www.youtube.com/watch?v=D0Yo1LyIhUs","2014-01-24","149116","18","620",1444637182.71062
"I Run The 254","Khaligraph Jones","https://www.youtube.com/watch?v=JODyGtWeCUA","2014-02-02","39919","28","310",1444637184.28771
"Dumbala Remix","Jay A","https://www.youtube.com/watch?v=sB50Qm5LEj8","2014-01-28","312682","23","818",1444637185.99781
"Kioo","Jaguar","https://www.youtube.com/watch?v=AYdpfpOPjkc","2014-01-05","859364","191","2125",1444637187.73891
"Selina WK Remix","Eric Wainaina","https://www.youtube.com/watch?v=g4OnSL9DfMk","2014-02-16","127103","15","910",1444637189.375
"African Beauty","Nameless","https://www.youtube.com/watch?v=avXbNLf5odg","2014-01-29","308956","57","972",1444637191.43812
"Quality Ka Hizo","Mejja  feat  Pizo Dizo","https://www.youtube.com/watch?v=xI9czpT6JyU","2013-12-17","108293","16","363",1444637193.50624
"Jana Usiku","Elani","https://www.youtube.com/watch?v=Ej_QYoQVSnw","2013-09-06","413804","60","1582",1444637196.00238
"Kazi Ya Msalaba","Danny Gift feat  Daddy Owen","https://www.youtube.com/watch?v=nXBMiNxJ5NY","2013-10-21","243994","26","670",1444637198.56353
"Sheria","Sarabi","https://www.youtube.com/watch?v=8QGx_6lMjGI","2013-12-11","83649","13","761",1444637200.18662
