Song,artist,Youtubelink
 Black Star , Octopizzo,https://www.youtube.com/watch?v=D0Yo1LyIhUs
 I Run The 254 , Khaligraph Jones ,https://www.youtube.com/watch?v=JODyGtWeCUA
 Dumbala Remix , Jay A,https://www.youtube.com/watch?v=sB50Qm5LEj8
  Kioo, Jaguar ,https://www.youtube.com/watch?v=AYdpfpOPjkc
 Selina WK Remix, Eric Wainaina,https://www.youtube.com/watch?v=g4OnSL9DfMk
 African Beauty , Nameless,https://www.youtube.com/watch?v=avXbNLf5odg
 Quality Ka Hizo, Mejja  feat  Pizo Dizo ,https://www.youtube.com/watch?v=xI9czpT6JyU
 Jana Usiku , Elani ,https://www.youtube.com/watch?v=Ej_QYoQVSnw
 Kazi Ya Msalaba , Danny Gift feat  Daddy Owen ,https://www.youtube.com/watch?v=nXBMiNxJ5NY
 Sheria , Sarabi,https://www.youtube.com/watch?v=8QGx_6lMjGI
